epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,75610.5,0.52997,0.26806,0.90254,0.98846,0.99231,0.99455,0.90142,0.51301,0.20685,0.88777,0.00336,0.00336,0.00336
168,76046.2,0.52983,0.26665,0.89944,0.98899,0.99282,0.99457,0.90103,0.51329,0.20677,0.88773,0.00332,0.00332,0.00332
169,76483.5,0.52775,0.26602,0.89926,0.98899,0.99287,0.99458,0.9008,0.51341,0.2071,0.88773,0.00328,0.00328,0.00328
170,76918.6,0.53036,0.26844,0.90037,0.98993,0.99275,0.9946,0.90101,0.51345,0.20679,0.88759,0.00324,0.00324,0.00324
171,77353.6,0.52771,0.26662,0.90123,0.98993,0.99233,0.99459,0.90108,0.51378,0.20715,0.88767,0.0032,0.0032,0.0032
172,77789.7,0.52886,0.26653,0.90182,0.98993,0.99205,0.9946,0.90096,0.51415,0.2075,0.88755,0.00316,0.00316,0.00316
173,78225.4,0.52878,0.26603,0.89885,0.98993,0.99226,0.99461,0.90064,0.51396,0.20762,0.88712,0.00312,0.00312,0.00312
174,78661.1,0.52744,0.26588,0.89965,0.98945,0.99241,0.99459,0.90019,0.51389,0.20748,0.88703,0.00308,0.00308,0.00308
175,79096.9,0.52453,0.26573,0.89995,0.98993,0.99293,0.9946,0.90063,0.51361,0.20712,0.88687,0.00304,0.00304,0.00304
176,79536.8,0.52828,0.26478,0.90154,0.98977,0.99279,0.9946,0.90038,0.51369,0.20641,0.887,0.003,0.003,0.003
177,80031,0.52611,0.26432,0.90113,0.98958,0.99279,0.99461,0.90042,0.51397,0.20634,0.88712,0.00296,0.00296,0.00296
178,80462.8,0.52548,0.2648,0.8982,0.98887,0.99231,0.99458,0.90013,0.51421,0.20665,0.88715,0.00292,0.00292,0.00292
179,80896.5,0.52504,0.26352,0.90122,0.98817,0.99183,0.99443,0.90011,0.51462,0.20689,0.88724,0.00288,0.00288,0.00288
180,81328.6,0.52511,0.26217,0.89956,0.98821,0.99183,0.99442,0.89969,0.51534,0.20648,0.88728,0.00284,0.00284,0.00284
181,81760.2,0.52507,0.26153,0.9006,0.98944,0.99136,0.99446,0.89995,0.51502,0.20674,0.887,0.0028,0.0028,0.0028
182,82190.8,0.52331,0.26096,0.90108,0.98992,0.99115,0.9946,0.89948,0.51528,0.20676,0.88702,0.00276,0.00276,0.00276
183,82622.1,0.52187,0.26006,0.89831,0.98943,0.99055,0.99457,0.89949,0.51548,0.20666,0.88676,0.00272,0.00272,0.00272
184,83055.6,0.52411,0.26056,0.89982,0.98896,0.99017,0.9944,0.89939,0.51524,0.20646,0.88647,0.00268,0.00268,0.00268
185,83490.8,0.52304,0.26129,0.89685,0.98943,0.99045,0.99444,0.89964,0.51486,0.20642,0.88642,0.00264,0.00264,0.00264
186,83926.4,0.52146,0.2598,0.89964,0.99327,0.98798,0.99457,0.90008,0.51433,0.2064,0.88645,0.0026,0.0026,0.0026
187,84360.7,0.52425,0.26217,0.89883,0.98992,0.99146,0.99457,0.89974,0.51415,0.20613,0.88647,0.00256,0.00256,0.00256
